nome,tamanho_cm,necessidade_agua,necessidade_luz,toxica_para_pets,ideal_interno
Espada-de-sao-jorge,82.0,Media,Sombra,1,0
Suculenta,53.0,Baixa,Sol-pleno,0,1
Orquidea,49.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,37.0,Media,Meia-sombra,1,1
Orquidea,62.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,60.0,Media,Sombra,1,1
Suculenta,50.0,Baixa,Sol-pleno,0,1
Ficus,34.0,Baixa,Meia-sombra,0,1
Cacto,53.0,Media,Sol-pleno,0,1
Samambaia,49.0,Baixa,Sol-pleno,0,0
Espada-de-sao-jorge,23.0,Baixa,Meia-sombra,0,1
Samambaia,21.0,Media,Sol-pleno,0,1
Samambaia,61.0,Media,Meia-sombra,1,0
Samambaia,5.0,Baixa,Meia-sombra,1,1
Suculenta,54.0,Alta,,1,1
Suculenta,40.0,Alta,Sol-pleno,0,1
Espada-de-sao-jorge,76.0,Baixa,Sol-pleno,0,1
Cacto,40.0,Baixa,Sol-pleno,0,1
Samambaia,63.0,Media,Meia-sombra,0,1
Ficus,42.0,Alta,Sol-pleno,1,0
Ficus,52.0,Baixa,Sombra,0,1
Cacto,65.0,Alta,Sol-pleno,0,1
Espada-de-sao-jorge,41.0,Baixa,,0,1
Suculenta,70.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,30.0,Alta,Sol-pleno,0,0
Ficus,56.0,Baixa,Sombra,0,1
Ficus,68.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,63.0,Alta,Meia-sombra,0,0
Ficus,88.0,Media,Meia-sombra,0,1
Ficus,35.0,Media,Sombra,1,1
Cacto,22.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,30.0,Media,Sol-pleno,0,1
Orquidea,63.0,Media,Sombra,0,1
Ficus,60.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,52.0,Media,Sol-pleno,1,0
Espada-de-sao-jorge,28.0,Baixa,Meia-sombra,0,1
Orquidea,65.0,Alta,Meia-sombra,1,1
Espada-de-sao-jorge,26.0,Media,Meia-sombra,1,1
Samambaia,73.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,107.0,Alta,Meia-sombra,0,1
Samambaia,57.0,Baixa,Sol-pleno,0,1
Orquidea,,Baixa,Meia-sombra,0,1
Suculenta,40.0,Alta,Meia-sombra,0,1
Orquidea,14.0,Alta,Sombra,0,1
Suculenta,38.0,Alta,Sol-pleno,0,1
Suculenta,28.0,Media,Sol-pleno,0,1
Suculenta,21.0,Alta,Sol-pleno,0,1
Orquidea,84.0,Baixa,Meia-sombra,0,1
Orquidea,55.0,Media,Meia-sombra,1,1
Ficus,58.0,Baixa,Meia-sombra,0,1
Orquidea,44.0,Media,Sombra,0,1
Suculenta,47.0,Baixa,Sombra,1,1
Samambaia,69.0,Baixa,Meia-sombra,0,1
Suculenta,49.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,61.0,Alta,Sombra,0,1
Espada-de-sao-jorge,46.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,43.0,Media,,1,1
Cacto,22.0,Media,Sol-pleno,0,0
Orquidea,10.0,Media,Sombra,0,1
Cacto,45.0,Baixa,Sombra,0,1
Orquidea,51.0,Media,Sombra,0,1
Suculenta,24.0,Alta,Sol-pleno,0,0
Samambaia,49.0,Baixa,Sombra,1,1
Samambaia,51.0,Media,Sol-pleno,0,1
Ficus,7.0,Alta,Sol-pleno,0,1
Ficus,32.0,Media,Sombra,0,1
Cacto,58.0,Baixa,Meia-sombra,1,1
Cacto,58.0,Media,Sombra,0,1
Ficus,,Alta,Meia-sombra,0,1
Cacto,53.0,Baixa,Sombra,0,1
Suculenta,70.0,Media,Sol-pleno,1,1
Samambaia,66.0,Alta,Sol-pleno,0,1
Cacto,,Baixa,Sombra,1,1
Cacto,41.0,Media,Sombra,0,1
Suculenta,37.0,Alta,,1,0
Cacto,59.0,Media,Meia-sombra,1,0
Orquidea,54.0,Media,Meia-sombra,0,1
Samambaia,63.0,Baixa,Sol-pleno,0,1
Cacto,53.0,Alta,Sombra,0,1
Cacto,66.0,Media,Sol-pleno,0,1
Samambaia,52.0,Alta,Meia-sombra,0,1
Orquidea,,Media,Meia-sombra,0,1
Samambaia,67.0,Media,Meia-sombra,1,1
Samambaia,34.0,Media,Sol-pleno,0,1
Orquidea,14.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,,Alta,Sombra,0,1
Orquidea,55.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,16.0,Alta,Sol-pleno,0,1
Espada-de-sao-jorge,36.0,Alta,Meia-sombra,0,1
Cacto,65.0,Baixa,Sombra,0,1
Orquidea,44.0,Baixa,Sombra,1,1
Samambaia,40.0,Alta,Sombra,0,1
Cacto,78.0,Alta,Sol-pleno,1,0
Suculenta,29.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,34.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,54.0,Alta,Sombra,0,1
Cacto,,Baixa,Meia-sombra,0,1
Suculenta,60.0,Baixa,Sombra,1,1
Samambaia,68.0,Alta,Meia-sombra,0,1
Orquidea,54.0,Baixa,Meia-sombra,0,1
Suculenta,60.0,Media,Sol-pleno,1,1
Suculenta,,Media,Sombra,0,1
Orquidea,51.0,Media,Sombra,1,0
Suculenta,52.0,Baixa,Sombra,0,1
Ficus,54.0,Alta,Meia-sombra,1,1
Samambaia,65.0,Alta,Meia-sombra,0,1
Samambaia,61.0,Baixa,Sombra,0,1
Orquidea,51.0,Media,Sol-pleno,0,1
Ficus,34.0,Baixa,Meia-sombra,0,1
Samambaia,51.0,Baixa,Sol-pleno,1,0
Suculenta,49.0,Alta,Meia-sombra,0,1
Orquidea,54.0,Media,Sombra,0,1
Suculenta,94.0,Media,,0,1
Espada-de-sao-jorge,40.0,Alta,Meia-sombra,1,1
Espada-de-sao-jorge,58.0,Alta,Meia-sombra,0,1
Ficus,71.0,Alta,Sol-pleno,1,1
Espada-de-sao-jorge,52.0,Alta,Sol-pleno,0,1
Suculenta,97.0,Media,Sombra,1,1
Suculenta,42.0,Media,Sombra,0,1
Ficus,56.0,Baixa,Sombra,0,1
Suculenta,34.0,Alta,Sombra,0,1
Orquidea,43.0,Baixa,Sombra,0,1
Suculenta,,Alta,Sombra,1,1
Ficus,67.0,Alta,Meia-sombra,1,1
Suculenta,56.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,75.0,Alta,Sombra,1,1
Orquidea,48.0,Alta,Sombra,0,1
Ficus,43.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,104.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,58.0,Alta,Sol-pleno,0,1
Samambaia,36.0,Media,Sombra,0,1
Orquidea,36.0,Baixa,Sombra,0,1
Cacto,31.0,Baixa,Meia-sombra,0,1
Suculenta,69.0,Alta,Meia-sombra,1,1
Cacto,43.0,Media,Sombra,1,1
Orquidea,53.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,,Alta,Meia-sombra,0,1
Orquidea,65.0,Baixa,Sombra,1,1
Espada-de-sao-jorge,33.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,28.0,Media,Sol-pleno,1,1
Ficus,54.0,Baixa,Meia-sombra,0,1
Samambaia,62.0,Media,Meia-sombra,0,1
Orquidea,57.0,Alta,Meia-sombra,0,1
Suculenta,34.0,Alta,Sol-pleno,1,1
Ficus,64.0,Alta,Meia-sombra,1,1
Ficus,35.0,Baixa,Meia-sombra,0,1
Suculenta,,Baixa,Sol-pleno,1,1
Suculenta,31.0,Alta,Sombra,1,1
Samambaia,76.0,Media,Sombra,0,1
Samambaia,63.0,Alta,Meia-sombra,1,1
Ficus,62.0,Baixa,Sombra,0,1
Suculenta,,Alta,Sombra,0,1
Ficus,106.0,Media,Sombra,0,1
Suculenta,16.0,Alta,Sol-pleno,1,0
Cacto,35.0,Baixa,Meia-sombra,1,1
Cacto,38.0,Media,Sol-pleno,0,1
Orquidea,33.0,Alta,Sombra,0,1
Suculenta,28.0,Media,Meia-sombra,0,1
Orquidea,44.0,Media,Meia-sombra,1,1
Orquidea,26.0,Baixa,Meia-sombra,1,0
Espada-de-sao-jorge,57.0,Alta,Sol-pleno,0,1
Orquidea,51.0,Baixa,Sol-pleno,0,1
Suculenta,60.0,Media,,0,1
Cacto,,Alta,Sol-pleno,0,1
Samambaia,62.0,Media,Sombra,0,1
Suculenta,43.0,Media,Sombra,0,1
Ficus,92.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,,Media,Sombra,0,1
Espada-de-sao-jorge,13.0,Alta,Sombra,1,0
Ficus,,Baixa,Sombra,0,1
Orquidea,15.0,Media,Sombra,0,1
Ficus,50.0,Media,Meia-sombra,1,1
Orquidea,48.0,Baixa,Sombra,1,1
Ficus,41.0,Alta,Meia-sombra,0,1
Cacto,90.0,Media,Sol-pleno,0,1
Suculenta,61.0,Baixa,Sombra,0,1
Orquidea,65.0,Media,Sol-pleno,0,1
Cacto,31.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,30.0,Alta,Meia-sombra,0,1
Orquidea,51.0,Media,Meia-sombra,0,1
Samambaia,53.0,Media,Sombra,0,1
Orquidea,13.0,Alta,Sombra,1,1
Orquidea,46.0,Baixa,Meia-sombra,0,1
Cacto,50.0,Baixa,Sol-pleno,0,1
Orquidea,46.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,34.0,Media,Meia-sombra,1,1
Orquidea,39.0,Media,Meia-sombra,0,1
Orquidea,,Baixa,Meia-sombra,0,1
Suculenta,52.0,Alta,Sombra,0,1
Samambaia,62.0,Media,,0,1
Orquidea,72.0,Alta,Sol-pleno,1,1
Cacto,44.0,Alta,Sombra,1,1
Suculenta,41.0,Alta,Sol-pleno,0,0
Samambaia,59.0,Media,Sol-pleno,0,1
Samambaia,62.0,Media,Sombra,0,1
Ficus,,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,66.0,Media,Sol-pleno,0,1
Ficus,70.0,Alta,Meia-sombra,1,1
Ficus,,Media,,1,1
Espada-de-sao-jorge,86.0,Baixa,Sol-pleno,0,1
Suculenta,33.0,Baixa,Meia-sombra,0,1
Cacto,50.0,Media,Sol-pleno,0,1
Orquidea,50.0,Media,Sol-pleno,0,1
Cacto,48.0,Alta,Sol-pleno,0,1
Ficus,37.0,Alta,,1,0
Orquidea,20.0,Media,Sombra,1,1
Samambaia,52.0,Media,Sombra,0,1
Suculenta,35.0,Alta,Sombra,0,1
Espada-de-sao-jorge,52.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,34.0,Media,Sol-pleno,1,1
Cacto,28.0,Media,Meia-sombra,0,1
Orquidea,55.0,Alta,Meia-sombra,0,1
Suculenta,53.0,Alta,,0,1
Cacto,62.0,Media,Sol-pleno,0,1
Ficus,,Media,Meia-sombra,0,1
Cacto,56.0,Alta,Sol-pleno,0,0
Suculenta,60.0,Media,Sombra,0,1
Espada-de-sao-jorge,28.0,Baixa,Sombra,1,1
Ficus,24.0,Baixa,Sombra,0,1
Orquidea,82.0,Alta,Sombra,0,1
Espada-de-sao-jorge,,Media,Sol-pleno,1,1
Espada-de-sao-jorge,29.0,Baixa,Meia-sombra,0,1
Cacto,49.0,Alta,Meia-sombra,0,1
Ficus,48.0,Alta,Sombra,0,1
Samambaia,32.0,Media,Sombra,0,1
Espada-de-sao-jorge,,Baixa,Sol-pleno,1,0
Espada-de-sao-jorge,75.0,Alta,Sol-pleno,0,1
Suculenta,34.0,Baixa,Sol-pleno,0,1
Ficus,22.0,Media,Sol-pleno,0,1
Ficus,,Alta,Meia-sombra,0,1
Cacto,60.0,Media,Sombra,0,1
Suculenta,38.0,Baixa,,1,1
Ficus,18.0,Baixa,Sol-pleno,1,1
Orquidea,35.0,Media,Meia-sombra,1,1
Suculenta,49.0,Alta,Sombra,0,1
Ficus,73.0,Alta,Sol-pleno,0,1
Ficus,29.0,Baixa,Sol-pleno,1,1
Cacto,48.0,Baixa,Sombra,0,1
Orquidea,64.0,Alta,Sombra,0,1
Orquidea,5.0,Baixa,Sol-pleno,1,0
Cacto,71.0,Baixa,Sombra,0,1
Samambaia,26.0,Media,,0,1
Espada-de-sao-jorge,57.0,Media,Sol-pleno,1,1
Cacto,55.0,Baixa,Sombra,0,1
Samambaia,72.0,Baixa,Sombra,0,1
Cacto,61.0,Baixa,Meia-sombra,0,1
Ficus,5.0,Media,Meia-sombra,1,1
Samambaia,34.0,Baixa,Sol-pleno,0,1
Suculenta,53.0,Baixa,Meia-sombra,1,1
Espada-de-sao-jorge,46.0,Media,Sombra,0,1
Orquidea,60.0,Baixa,Sol-pleno,0,1
Orquidea,66.0,Baixa,Sol-pleno,0,1
Suculenta,62.0,Media,Meia-sombra,0,1
Ficus,,Baixa,Sol-pleno,0,1
Cacto,13.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,41.0,Media,Sol-pleno,0,1
Ficus,58.0,Media,Sol-pleno,0,0
Espada-de-sao-jorge,28.0,Media,Meia-sombra,1,1
Orquidea,63.0,Alta,Sombra,1,1
Samambaia,68.0,Baixa,Meia-sombra,0,1
Orquidea,53.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,5.0,Baixa,Sol-pleno,0,1
Ficus,24.0,Alta,Sol-pleno,0,1
Ficus,88.0,Alta,Meia-sombra,0,1
Suculenta,39.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,10.0,Media,Sombra,0,1
Ficus,75.0,Media,Sombra,0,1
Suculenta,50.0,Media,Sombra,1,1
Ficus,72.0,Baixa,Sol-pleno,0,1
Suculenta,56.0,Media,Sol-pleno,0,1
Suculenta,59.0,Media,Sombra,0,1
Ficus,57.0,Baixa,Meia-sombra,0,1
Orquidea,64.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,96.0,Alta,Sombra,0,1
Espada-de-sao-jorge,69.0,Baixa,Meia-sombra,1,1
Ficus,18.0,Alta,Meia-sombra,0,1
Samambaia,59.0,Baixa,Sol-pleno,0,1
Samambaia,73.0,Alta,Sol-pleno,0,0
Cacto,74.0,Alta,Sombra,1,1
Ficus,41.0,Baixa,Meia-sombra,1,0
Espada-de-sao-jorge,73.0,Media,Sol-pleno,1,1
Orquidea,69.0,Baixa,Sol-pleno,0,1
Orquidea,101.0,Alta,Sol-pleno,0,0
Samambaia,35.0,Baixa,Sol-pleno,0,1
Ficus,40.0,Baixa,Sombra,1,1
Espada-de-sao-jorge,44.0,Baixa,Sol-pleno,1,1
Samambaia,40.0,Baixa,Sol-pleno,1,1
Suculenta,,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,5.0,Media,Sol-pleno,1,1
Ficus,41.0,Media,Sombra,1,0
Ficus,57.0,Media,Sombra,0,1
Ficus,40.0,Baixa,Meia-sombra,0,1
Ficus,89.0,Baixa,Meia-sombra,0,1
Ficus,50.0,Alta,Sombra,0,1
Orquidea,76.0,Baixa,Sombra,0,1
Suculenta,55.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,67.0,Media,Meia-sombra,1,1
Orquidea,56.0,Baixa,Sombra,1,1
Espada-de-sao-jorge,77.0,Media,Meia-sombra,1,0
Samambaia,51.0,Alta,Meia-sombra,0,1
Samambaia,60.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,57.0,Alta,Sol-pleno,0,0
Samambaia,44.0,Media,Meia-sombra,1,1
Ficus,58.0,Media,Sombra,0,1
Orquidea,95.0,Media,Sombra,1,1
Orquidea,45.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,58.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,75.0,Baixa,Sombra,1,1
Ficus,73.0,Alta,Meia-sombra,0,1
Orquidea,50.0,Baixa,Meia-sombra,1,1
Espada-de-sao-jorge,5.0,Alta,Sombra,0,1
Orquidea,60.0,Media,Meia-sombra,0,1
Orquidea,6.0,Alta,Sombra,0,0
Espada-de-sao-jorge,79.0,Media,,1,0
Cacto,53.0,Media,Sombra,0,1
Ficus,70.0,Media,Meia-sombra,1,0
Cacto,32.0,Media,Sol-pleno,1,0
Samambaia,19.0,Baixa,Sol-pleno,0,1
Ficus,55.0,Media,Sombra,1,1
Ficus,,Media,Sombra,1,1
Orquidea,40.0,Baixa,Sombra,0,1
Suculenta,52.0,Alta,Meia-sombra,1,1
Suculenta,105.0,Media,Meia-sombra,0,1
Orquidea,67.0,Baixa,Sol-pleno,0,1
Suculenta,71.0,Alta,Sol-pleno,0,1
Suculenta,67.0,Baixa,Sol-pleno,1,0
Ficus,80.0,Media,Sombra,0,1
Espada-de-sao-jorge,46.0,Media,Sombra,0,1
Cacto,9.0,Media,Sol-pleno,0,0
Ficus,46.0,Alta,,0,0
Orquidea,66.0,Alta,Sombra,1,1
Orquidea,31.0,Media,Sombra,1,1
Ficus,46.0,Alta,Sol-pleno,0,1
Samambaia,36.0,Alta,Meia-sombra,0,1
Ficus,80.0,Alta,Sol-pleno,1,1
Samambaia,65.0,Media,Meia-sombra,0,1
Ficus,63.0,Baixa,Sol-pleno,0,1
Orquidea,62.0,Baixa,Sol-pleno,1,1
Suculenta,49.0,Media,Sombra,1,1
Espada-de-sao-jorge,54.0,Media,Sombra,0,0
Orquidea,26.0,Baixa,Sol-pleno,0,0
Suculenta,6.0,Baixa,,1,1
Suculenta,53.0,Alta,Sombra,0,1
Ficus,56.0,Alta,Sol-pleno,0,0
Ficus,74.0,Alta,Sombra,1,1
Suculenta,81.0,Baixa,Sombra,0,1
Ficus,81.0,Baixa,Sombra,0,1
Ficus,30.0,Baixa,Meia-sombra,0,1
Samambaia,43.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,60.0,Media,Sol-pleno,0,1
Cacto,101.0,Alta,Sol-pleno,0,1
Orquidea,80.0,Media,Meia-sombra,0,1
Cacto,72.0,Media,Sol-pleno,1,1
Samambaia,42.0,Media,Sombra,0,1
Cacto,32.0,Alta,Meia-sombra,0,1
Ficus,66.0,Media,Sombra,0,1
Orquidea,28.0,Media,Sombra,0,1
Samambaia,45.0,Alta,Sol-pleno,1,0
Cacto,48.0,Media,,0,1
Espada-de-sao-jorge,82.0,Alta,Meia-sombra,0,1
Suculenta,,Media,Meia-sombra,1,1
Cacto,5.0,Alta,Sombra,0,1
Suculenta,60.0,Media,Sol-pleno,0,1
Orquidea,36.0,Media,Sombra,1,0
Samambaia,51.0,Baixa,Sombra,0,0
Suculenta,48.0,Media,Meia-sombra,1,1
Espada-de-sao-jorge,45.0,Baixa,Sombra,1,1
Suculenta,66.0,Media,Sol-pleno,1,1
Cacto,19.0,Alta,Sombra,0,1
Ficus,40.0,Media,Sombra,1,1
Samambaia,64.0,Media,Sombra,1,1
Espada-de-sao-jorge,38.0,Baixa,Sombra,0,1
Suculenta,18.0,Alta,Sombra,1,0
Samambaia,63.0,Media,Meia-sombra,0,1
Cacto,72.0,Media,Sombra,1,1
Suculenta,49.0,Baixa,Sombra,0,1
Suculenta,11.0,Baixa,Sombra,0,1
Orquidea,64.0,Baixa,,0,1
Samambaia,17.0,Alta,Meia-sombra,1,1
Suculenta,,Alta,Sol-pleno,0,1
Cacto,32.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,27.0,Baixa,Sol-pleno,0,1
Ficus,41.0,Alta,Sol-pleno,1,0
Ficus,46.0,Media,Sombra,0,1
Cacto,37.0,Baixa,Meia-sombra,0,1
Suculenta,62.0,Media,Meia-sombra,0,1
Orquidea,41.0,Baixa,Meia-sombra,0,1
Cacto,70.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,56.0,Media,Meia-sombra,0,1
Cacto,36.0,Alta,Sombra,1,1
Ficus,33.0,Alta,,1,0
Ficus,17.0,Baixa,,0,1
Espada-de-sao-jorge,56.0,Media,Sombra,0,1
Ficus,43.0,Alta,Meia-sombra,0,0
Espada-de-sao-jorge,5.0,Alta,Sol-pleno,1,0
Samambaia,39.0,Alta,Sol-pleno,0,0
Ficus,32.0,Baixa,Sombra,0,1
Samambaia,82.0,Baixa,Sol-pleno,1,0
Suculenta,16.0,Baixa,Sombra,0,1
Cacto,21.0,Baixa,Sombra,0,1
Orquidea,72.0,Baixa,Sombra,0,1
Suculenta,77.0,Baixa,Sol-pleno,0,1
Cacto,35.0,Media,Sol-pleno,0,1
Suculenta,37.0,Media,Meia-sombra,1,1
Espada-de-sao-jorge,62.0,Media,,0,1
Cacto,5.0,Baixa,Sombra,0,1
Ficus,13.0,Baixa,Sombra,1,1
Cacto,44.0,Alta,Sol-pleno,1,0
Espada-de-sao-jorge,81.0,Media,Sol-pleno,0,1
Samambaia,41.0,Baixa,Sombra,1,1
Espada-de-sao-jorge,52.0,Alta,Sombra,0,1
Suculenta,73.0,Alta,Meia-sombra,0,1
Suculenta,,Alta,Sombra,0,1
Samambaia,38.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,50.0,Media,Sol-pleno,1,0
Ficus,86.0,Alta,Sombra,1,1
Samambaia,20.0,Alta,Sombra,0,1
Cacto,71.0,Baixa,Sol-pleno,0,1
Cacto,30.0,Alta,Meia-sombra,1,1
Cacto,52.0,Media,Sombra,0,1
Ficus,45.0,Media,Sombra,0,1
Samambaia,31.0,Media,Sol-pleno,0,1
Ficus,30.0,Alta,Sol-pleno,0,1
Suculenta,56.0,Baixa,Sombra,0,1
Cacto,70.0,Media,Sol-pleno,1,0
Suculenta,47.0,Alta,Sombra,0,1
Suculenta,51.0,Media,Sombra,0,1
Orquidea,61.0,Baixa,,1,1
Suculenta,31.0,Baixa,Meia-sombra,0,1
Suculenta,65.0,Media,Sol-pleno,1,0
Suculenta,66.0,Alta,Sol-pleno,0,1
Suculenta,102.0,Media,Sombra,0,1
Suculenta,42.0,Alta,Meia-sombra,0,1
Samambaia,41.0,Media,Sol-pleno,1,1
Samambaia,65.0,Media,Meia-sombra,1,1
Orquidea,66.0,Baixa,Sombra,1,1
Cacto,39.0,Media,Sombra,0,1
Suculenta,42.0,Baixa,Meia-sombra,0,1
Samambaia,61.0,Alta,Meia-sombra,1,1
Cacto,33.0,Baixa,Meia-sombra,0,1
Suculenta,42.0,Alta,Sombra,1,1
Suculenta,52.0,Baixa,Sombra,0,0
Suculenta,70.0,Media,Meia-sombra,0,1
Cacto,38.0,Baixa,Sol-pleno,1,0
Espada-de-sao-jorge,13.0,Baixa,Meia-sombra,0,1
Suculenta,12.0,Alta,Meia-sombra,0,1
Orquidea,25.0,Baixa,Sol-pleno,0,1
Orquidea,24.0,Media,Sol-pleno,1,0
Suculenta,47.0,Alta,Sol-pleno,0,1
Espada-de-sao-jorge,26.0,Media,Meia-sombra,0,1
Ficus,36.0,Baixa,Sol-pleno,1,0
Espada-de-sao-jorge,35.0,Media,,0,1
Espada-de-sao-jorge,41.0,Media,Meia-sombra,1,1
Suculenta,76.0,Baixa,Meia-sombra,1,1
Orquidea,63.0,Baixa,Sol-pleno,0,1
Suculenta,50.0,Media,Sol-pleno,1,1
Samambaia,41.0,Media,Sombra,0,1
Orquidea,41.0,Baixa,Sol-pleno,0,1
Samambaia,57.0,Media,Sombra,0,0
Samambaia,62.0,Media,Meia-sombra,0,1
Suculenta,32.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,51.0,Media,Meia-sombra,0,1
Cacto,9.0,Alta,Sombra,0,1
Cacto,54.0,Media,Meia-sombra,0,1
Ficus,65.0,Media,Meia-sombra,0,1
Ficus,44.0,Alta,Meia-sombra,1,1
Ficus,86.0,Media,Sombra,0,1
Ficus,32.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,54.0,Media,Sombra,0,1
Espada-de-sao-jorge,49.0,Media,Meia-sombra,0,1
Orquidea,48.0,Media,Sol-pleno,0,1
Ficus,48.0,Baixa,Sol-pleno,0,1
Ficus,52.0,Baixa,Meia-sombra,0,1
Samambaia,67.0,Media,,1,1
Suculenta,78.0,Alta,Sombra,0,1
Cacto,50.0,Alta,,0,1
Cacto,66.0,Alta,Meia-sombra,1,1
Samambaia,36.0,Baixa,Sol-pleno,0,1
Orquidea,65.0,Media,Sol-pleno,0,1
Samambaia,35.0,Media,Meia-sombra,0,1
Ficus,72.0,Media,Meia-sombra,0,1
Orquidea,94.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,48.0,Media,Sombra,0,1
Ficus,6.0,Baixa,Sombra,0,1
Cacto,39.0,Alta,Meia-sombra,1,0
Orquidea,75.0,Alta,Meia-sombra,0,1
Orquidea,61.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,55.0,Media,Sombra,0,1
Cacto,70.0,Media,Meia-sombra,1,1
Cacto,60.0,Alta,Sombra,0,1
Orquidea,74.0,Alta,Sombra,0,1
Ficus,68.0,Media,Sol-pleno,0,0
Samambaia,,Alta,Sol-pleno,1,0
Suculenta,,Alta,Sol-pleno,0,1
Orquidea,68.0,Alta,Sombra,0,1
Ficus,44.0,Baixa,Meia-sombra,0,1
Suculenta,38.0,Alta,Sol-pleno,0,0
Cacto,84.0,Media,Sombra,0,1
Suculenta,54.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,66.0,Alta,Sol-pleno,0,0
Ficus,52.0,Alta,Meia-sombra,1,0
Espada-de-sao-jorge,38.0,Media,Meia-sombra,1,1
Cacto,50.0,Media,Sombra,0,1
Orquidea,79.0,Media,Sol-pleno,0,1
Cacto,61.0,Baixa,Sol-pleno,0,1
Samambaia,,Alta,Sol-pleno,0,1
Orquidea,46.0,Baixa,Sol-pleno,0,1
Orquidea,86.0,Media,Meia-sombra,0,1
Ficus,46.0,Baixa,Sol-pleno,1,1
Orquidea,14.0,Alta,Sombra,0,1
Orquidea,88.0,Alta,Sol-pleno,1,0
Cacto,64.0,Media,Sombra,0,1
Espada-de-sao-jorge,49.0,Media,Meia-sombra,0,1
Suculenta,43.0,Alta,Sombra,0,1
Cacto,72.0,Alta,Sombra,0,1
Ficus,39.0,Alta,Meia-sombra,0,1
Orquidea,73.0,Baixa,Meia-sombra,0,1
Samambaia,61.0,Media,Sombra,0,1
Orquidea,55.0,Alta,Sol-pleno,0,1
Suculenta,53.0,Baixa,Sombra,0,1
Cacto,47.0,Alta,Sol-pleno,0,1
Ficus,71.0,Baixa,,0,1
Orquidea,33.0,Alta,Meia-sombra,1,0
Ficus,,Media,Sombra,0,1
Cacto,62.0,Alta,Sol-pleno,0,1
Espada-de-sao-jorge,63.0,Alta,,0,1
Espada-de-sao-jorge,60.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,58.0,Media,Sombra,0,1
Espada-de-sao-jorge,44.0,Alta,Meia-sombra,0,1
Suculenta,66.0,Baixa,Sol-pleno,0,1
Samambaia,49.0,Alta,Sombra,0,1
Espada-de-sao-jorge,40.0,Baixa,Sombra,0,1
Orquidea,44.0,Media,Meia-sombra,1,1
Espada-de-sao-jorge,90.0,Media,Sombra,1,1
Suculenta,15.0,Alta,Sombra,0,1
Ficus,60.0,Alta,Sombra,0,1
Suculenta,16.0,Media,Meia-sombra,0,1
Cacto,48.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,41.0,Media,Meia-sombra,0,1
Cacto,8.0,Media,Sombra,0,1
Samambaia,58.0,Alta,Meia-sombra,0,1
Ficus,42.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,8.0,Media,Sombra,0,1
Orquidea,67.0,Alta,Sombra,1,1
Ficus,79.0,Baixa,Sombra,1,1
Cacto,80.0,Baixa,Sol-pleno,0,1
Cacto,57.0,Baixa,Sol-pleno,0,0
Cacto,51.0,Alta,Sombra,0,1
Espada-de-sao-jorge,77.0,Baixa,Sombra,0,1
Ficus,84.0,Media,Meia-sombra,0,1
Samambaia,73.0,Alta,Sombra,1,0
